Symbol,Five Minute Change,Average Volume,Total Volume,Days Open,Days Change,20MA Open,50MA Open,200MA Open,20MA Change,50MA Change,200MA Change,Next Days Change
AAPL,0.00,39329.16667,3067675,127.41,0.00,127.6088,127.586,125.071335,0.00,0.00,0.02,0.00
AAPL,0.00,68796.08974,5366095,128.9,0.00,128.64535,128.16194,127.318735,0.00,0.00,0.01,-0.02
AAPL,0.00,78443.24359,6118573,128.96,-0.02,128.80445,128.58308,128.131265,-0.02,-0.01,0.00,0.03
AAPL,0.00,41255.77215,3259206,125.05,0.03,125.0362,125.8273,127.57639,0.02,0.01,-0.01,0.00
AAPL,0.00,64397.42308,5022999,131.65,0.00,131.9159,131.16052,127.298255,0.00,0.01,0.02,-0.01
AAPL,0.00,32465.06329,2564740,132.15,-0.01,132.23695,132.06898,130.675645,0.00,0.00,0.01,0.01
AAPL,0.00,29055.80952,1220344,131.36,0.01,131.33595,131.65288,131.958435,0.00,0.00,0.00,0.02
AAPL,0.00,49242.32051,3840901,134.01,0.02,133.79565,132.92926,132.15325,0.02,0.03,0.01,-0.02
AAPL,0.00,59521.92405,4702232,138.06,-0.02,138.13975,137.649,134.951145,-0.02,-0.01,0.01,-0.01
AAPL,0.00,33180.39744,2588071,135.62,-0.01,135.64995,135.48126,136.50594,-0.01,-0.01,-0.01,-0.01
AAPL,0.00,38334.21795,2990069,134.04,-0.01,134.32735,134.08694,135.12872,-0.01,-0.01,-0.01,-0.03
AAPL,0.00,53480.03846,4171443,133.52,-0.03,133.73225,133.21202,133.610765,-0.03,-0.03,-0.01,0.02
AAPL,0.00,38410.29114,3034413,128.96,0.02,128.95435,129.06262,131.04574,0.02,0.01,-0.01,-0.01
AAPL,0.00,82536.55128,6437851,127.72,-0.01,128.39395,129.59554,129.63479,-0.01,-0.01,0.00,0.02
AAPL,0.00,45267.33333,3530852,128.37,0.02,128.3864,127.83758,129.138855,0.02,0.02,0.00,0.00
AAPL,0.00,38207.28205,2980168,132.4,0.00,132.36405,131.79744,129.797055,-0.01,0.00,0.01,0.00
AAPL,0.00,47762.28205,3725458,129.19,0.00,130.0992,130.91152,131.11905,-0.01,-0.01,0.00,0.00
AAPL,0.00,38545.14103,3006521,128.43,0.00,129.11495,129.11646,130.25008,0.00,-0.01,-0.01,0.02
AAPL,0.00,39344.34615,3068859,128.69,0.02,128.92635,128.75832,128.952615,0.02,0.02,0.00,-0.01
AAPL,0.00,57387.21519,4533590,130.75,-0.01,130.79815,130.85262,129.71316,-0.01,-0.01,0.00,-0.01
AAPL,0.00,136709.0513,10663306,128.83,-0.01,129.04135,129.19442,130.237365,-0.01,-0.01,-0.01,0.00
AAPL,0.00,39074.01282,3047773,127.75,0.00,128.194,127.9944,128.973505,0.00,0.00,-0.01,0.03
AAPL,0.00,63240.51282,4932760,128.56,0.03,128.66785,128.24956,128.10852,0.03,0.03,0.01,0.02
AAPL,0.00,51592.87342,4075837,133.79,0.02,133.91095,133.16036,130.31506,0.02,0.02,0.02,0.02
AAPL,0.00,68352.88462,5331525,136.28,0.02,135.8931,136.39458,134.6918,0.02,0.01,0.02,0.00
AAPL,0.00,65624.73077,5118729,143.07,0.00,142.98465,141.45832,138.019255,0.00,0.01,0.02,0.00
AAPL,0.00,39965.20253,3157251,143.54,0.00,143.4108,143.12366,141.67932,0.00,0.00,0.01,-0.01
AAPL,0.00,67952.77215,5368269,143.41,-0.01,143.1232,143.80428,143.042285,-0.01,-0.01,0.00,-0.02
AAPL,0.00,73677.67089,5820536,139.52,-0.02,139.432,140.04632,142.404955,-0.01,0.00,-0.01,-0.03
AAPL,0.00,78585.43038,6208249,135.78,-0.03,136.04795,136.57854,139.484365,-0.03,-0.03,-0.02,0.00
AAPL,0.00,55049.89744,4293892,133.75,0.00,133.93265,133.1542,135.323305,0.00,0.01,-0.01,-0.01
AAPL,0.00,71849.53165,5676113,135.73,-0.01,135.03355,134.74996,133.529155,0.00,0.00,0.01,-0.01
AAPL,0.00,86112.05128,6716740,135.63,-0.01,135.23055,135.0883,134.701185,-0.01,0.00,0.00,0.01
AAPL,0.00,32414.55128,2528335,136.33,0.01,136.2996,135.42522,135.042805,0.00,0.01,0.00,0.00
AAPL,0.00,47026.97436,3668104,137.35,0.00,137.72215,137.31142,135.81735,-0.01,0.00,0.01,0.01
AAPL,0.00,46670.03846,3640263,136.08,0.01,136.1745,136.34744,136.55492,0.00,0.00,0.00,-0.01
AAPL,0.00,26574.73077,2072829,136.69,-0.01,136.47095,136.32588,136.376565,0.00,0.00,0.00,-0.01
AAPL,0.00,73579.41772,5812774,136.47,-0.01,136.33365,136.44006,136.42991,-0.01,-0.01,0.00,-0.01
AAPL,0.00,64483.49367,5094196,135.873,-0.01,135.57455,135.43912,136.062555,-0.01,-0.01,-0.01,0.01
AAPL,0.00,47978.19231,3742299,134.3,0.01,134.6119,134.51616,135.084975,0.00,0.00,0.00,-0.02
AAPL,0.00,49458.24359,3857743,135.49,-0.02,135.66565,134.98856,134.684825,-0.02,-0.01,0.00,0.00
AAPL,0.00,50938.47436,3973201,131.27,0.00,131.7512,132.469,133.859865,-0.01,-0.02,-0.01,0.00
AAPL,0.00,75261.98718,5870435,129.24,0.00,129.01435,129.82238,131.446975,0.00,-0.01,-0.01,0.00
AAPL,0.00,63505.46835,5016932,130.18,0.00,130.3106,129.55234,129.626665,-0.01,0.00,0.00,-0.01
AAPL,0.00,59855.01266,4728546,128.01,-0.01,127.76495,128.52888,129.12453,-0.01,-0.01,-0.01,0.02
AAPL,0.00,87403.21795,6817451,123.76,0.02,123.2137,124.82176,127.40369,0.02,-0.01,-0.02,0.00
AAPL,0.00,62462.24359,4872055,124.75,0.00,125.94335,125.9777,125.02179,-0.01,-0.01,-0.01,-0.03
AAPL,0.00,89057.94937,7035578,124.68,-0.03,124.56495,124.69926,124.589115,-0.02,-0.02,-0.01,-0.01
AAPL,0.00,90819.98734,7174779,122.56,-0.01,122.02185,121.37824,123.2374,0.01,0.02,0.00,0.03
AAPL,0.00,86196.21795,6723305,123.74,0.03,123.5014,123.0825,122.626065,0.03,0.03,0.01,-0.02
AAPL,0.00,24904.01282,1942513,121.805,-0.01,6.138,73.6072,97.979575,18.56,0.64,0.01,0.00
AAPL,0.00,31527.9359,2459179,120.96,0.00,114.046,117.8773,98.475525,0.06,0.02,0.10,-0.04
AAPL,0.00,30752,2398656,120.88,-0.04,121.0385,120.1515,107.918,-0.03,-0.02,0.10,0.02
AAPL,0.00,26661.62821,2079607,118.99,0.02,117.1595,117.4935,118.46375,0.04,0.03,0.01,-0.01
AAPL,0.00,22164.71795,1728848,121.54,-0.01,121.5155,121.3611,119.64715,-0.01,-0.01,0.00,0.00
AAPL,0.00,23810.37662,1833399,122.295,0.00,120.51825,120.2619,119.9351,0.01,0.01,0.01,0.00
AAPL,0.00,16097.03846,1255569,120.365,0.00,121.859,121.9185,121.18465,-0.01,-0.01,0.00,0.01
AAPL,0.00,9970.621212,658061,122.59,0.01,121.9215,121.1903,121.117375,0.01,0.01,0.00,-0.01
AAPL,0.00,24604.9697,1623928,126.44,-0.01,125.30825,123.9801,121.94485,0.00,0.01,0.01,0.01
AAPL,0.00,20370.21212,1344434,123.45,0.01,124.128,124.983,123.759175,0.01,-0.01,0.00,-0.01
AAPL,0.00,23252.69697,1534678,122.175,-0.01,123.084,123.5024,124.3114,-0.02,-0.02,-0.01,0.00
AAPL,0.00,26045.28788,1718989,120.13,0.00,120.4575,121.1265,122.922875,0.00,-0.01,-0.01,0.01
AAPL,0.00,25645.77273,1692621,122.2,0.01,121.198,120.6747,121.6271,0.02,0.02,0.00,0.00
AAPL,0.00,21201.16667,1399277,123.13,0.00,123.129,123.3509,121.6946,0.00,0.00,0.01,-0.01
AAPL,0.00,30709.93939,2026856,121.45,-0.01,121.9875,122.6361,122.483675,-0.01,-0.01,0.00,0.00
AAPL,0.00,21501.86364,1419123,120.715,0.00,120.70175,120.909,122.306825,0.00,-0.01,-0.01,0.01
AAPL,0.00,21367.77049,1303434,120.28,0.01,120.5315,120.3065,121.06885,-0.01,0.00,-0.01,0.00
AAPL,0.00,19981.65152,1318789,121.14,0.00,121.14825,120.424,120.386125,0.00,0.01,0.00,0.01
AAPL,0.00,17202.77273,1135383,119.14,0.01,120.13125,120.9609,120.60625,0.00,-0.01,0.00,-0.01
AAPL,0.00,22022.42424,1453480,122.76,-0.01,121.66675,120.5282,120.605025,0.01,0.02,0.01,0.00
AAPL,0.00,16754.40909,1105791,123.5,0.00,123.13275,122.9765,121.46995,0.00,0.00,0.01,0.01
AAPL,0.00,18773.33333,1239040,125.11,0.01,124.08675,123.2977,122.60125,0.01,0.02,0.01,0.00
AAPL,0.00,13121.45455,866016,126.39,0.00,126.073,125.8969,124.16365,0.00,0.00,0.01,0.01
AAPL,0.00,18293.92424,1207399,127.17,0.01,126.345,126.304,125.476375,0.01,0.01,0.01,0.01
AAPL,0.00,15192.62121,1002713,129.37,0.01,128.795,127.953,126.802275,0.01,0.02,0.01,0.01
AAPL,0.00,20892.86364,1378929,131.02,0.01,130.51975,130.2559,128.27945,0.01,0.01,0.01,0.00
AAPL,0.00,15513.43939,1023887,131.85,0.00,132.183,132.2037,130.29695,-0.01,-0.01,0.01,0.01
AAPL,0.00,9100.25,546015,133.32,0.01,132.461,131.9308,131.439775,0.01,0.02,0.01,-0.01
AAPL,0.00,13820.19697,912133,133.57,-0.01,134.076,134.2266,132.621625,-0.01,-0.01,0.00,0.00
AAPL,0.00,12434.09091,820650,134.95,0.00,133.7585,133.1667,133.1516,0.00,0.01,0.01,0.00
AAPL,0.00,12531.39394,827072,134.22,0.00,134.114,134.3027,133.851825,0.00,0.00,0.00,0.00
AAPL,0.00,14967.57576,987860,134.84,0.00,134.453,134.1381,134.004,0.00,0.00,0.00,-0.01
AAPL,0.00,19928.38806,1335202,134.33,-0.01,134.76725,134.6211,134.27455,-0.02,-0.01,0.00,0.01
AAPL,0.00,11328.33333,747670,132.52,0.01,132.278,132.4876,133.77435,0.01,0.01,0.00,-0.01
AAPL,0.00,17435.77273,1150761,133.655,-0.01,133.178,133.2429,133.161325,-0.01,0.00,0.00,0.01
AAPL,0.00,17108.06061,1129132,133.14,0.01,132.78825,132.4033,132.95895,0.02,0.02,0.00,0.00
AAPL,0.00,9938.090909,655914,134.42,0.00,134.3995,134.6425,133.59385,0.00,0.00,0.00,0.00
AAPL,0.00,10534.89394,695303,134.87,0.00,134.73,134.7119,134.116325,0.00,0.00,0.00,0.03
AAPL,0.00,17404.5974,1340154,134.21,0.03,134.4235,134.5009,134.57945,0.01,0.00,0.00,-0.01
AAPL,0.00,27228.55882,1851542,134.315,-0.01,135.37625,135.6128,134.615575,-0.01,-0.01,0.00,-0.01
AAPL,0.00,26342.79104,1764967,133.29,-0.01,132.3925,133.1578,134.059425,-0.01,-0.01,0.00,-0.01
AAPL,0.00,14588.09091,962814,133.87,-0.01,132.888,132.2062,133.246225,0.00,0.00,0.00,0.00
AAPL,0.00,25208.12121,1663736,128.275,0.00,129.78025,131.5076,132.304975,-0.02,-0.03,-0.01,-0.01
AAPL,0.00,11907.86364,785919,129.42,-0.01,128.865,127.8616,130.370725,0.00,0.01,-0.01,0.01
AAPL,0.00,16604.43284,1112497,127.83,0.01,127.99375,128.609,129.04065,0.01,0.00,0.00,0.00
AAPL,0.00,11539.34848,761597,130.595,0.00,130.277,129.3923,128.859325,0.00,0.01,0.00,-0.01
AAPL,0.00,16706.57576,1102634,128.34,-0.01,129.13275,129.8062,129.3799,-0.02,-0.02,0.00,0.02
AAPL,0.00,18816.29851,1260692,123.455,0.02,123.73525,125.9675,128.692875,0.02,0.00,-0.01,-0.01
AAPL,0.00,17505.32394,1242878,123.54,-0.01,124.43525,125.2348,126.668425,-0.01,-0.02,-0.02,0.00
AAPL,0.00,17447.81818,1151556,125.525,0.00,124.37975,123.3301,124.334625,0.01,0.02,0.00,0.01
AAPL,0.00,13216.35821,885496,126.425,0.01,126.14925,125.5449,124.451075,0.01,0.01,0.01,0.00
AAPL,0.00,8658.275362,597421,125.93,0.00,126.5125,126.9755,125.6012,-0.01,-0.01,0.00,-0.02
AAPL,0.00,12215.46269,818436,126.745,-0.02,126.37325,125.8329,126.221325,-0.01,0.00,0.00,0.01
AAPL,0.00,12337.45588,838947,123.73,0.01,124.1955,125.2245,125.99275,0.00,-0.01,-0.01,0.01
AAPL,0.00,13925.91304,960888,126.37,0.01,125.60425,124.7425,125.214375,0.02,0.02,0.00,-0.01
AAPL,0.00,12477.25758,823499,126.47,-0.01,127.068,127.2506,125.569775,-0.01,-0.01,0.00,0.00
AAPL,0.00,12482.55072,861296,127.54,0.00,126.50725,126.0653,126.204575,0.01,0.01,0.01,0.00
AAPL,0.00,9633.328358,645433,127.17,0.00,127.18375,127.4923,126.8729,0.00,-0.01,0.00,0.00
AAPL,0.00,11700.89552,783960,127.045,0.00,126.89175,126.7896,126.969175,0.00,0.00,0.00,-0.02
AAPL,0.00,14833.74242,979027,127.42,-0.02,127.0295,126.8361,126.9794,-0.01,0.00,0.00,0.00
AAPL,0.00,13962.61194,935495,125.21,0.00,125.40025,125.8374,126.600775,0.00,-0.01,0.00,0.00
AAPL,0.00,13360.34848,881783,124.65,0.00,124.72175,124.8845,125.872675,0.00,0.00,-0.01,0.00
AAPL,0.00,11241.98485,741971,125.085,0.00,124.7115,124.7108,125.02415,0.00,0.00,0.00,0.00
AAPL,0.00,12033.95652,830343,123.44,0.00,124.02025,124.271,124.6447,0.00,0.00,0.00,0.01
AAPL,0.00,11462.64179,767997,124.84,0.01,124.35975,124.0296,124.295425,0.01,0.01,0.00,0.01
AAPL,0.00,15678.86567,1050484,125.305,0.01,125.4885,125.654,124.62285,0.00,0.00,0.00,-0.01
AAPL,0.00,14139.72727,933222,127.48,-0.01,126.87475,125.888,125.268175,0.00,0.01,0.01,0.00
AAPL,0.00,10274.42424,678112,127.1,0.00,126.89675,126.8978,126.11205,0.00,0.00,0.00,-0.01
AAPL,0.00,26809.73134,1796252,127.49,-0.01,127.38725,127.2542,126.812925,-0.01,-0.01,0.00,0.00
AAPL,0.00,10490.16667,692351,127.12,0.00,126.66425,126.4434,126.870025,0.00,0.01,0.00,0.01
AAPL,0.00,17147.61429,1200333,129.145,0.01,128.13675,127.5939,126.99425,0.02,0.02,0.01,0.00
AAPL,0.00,12006.78788,792448,129.72,0.00,130.1195,130.0483,128.20585,0.00,0.00,0.01,0.00
AAPL,0.00,16463.07143,1152415,130.58,0.00,130.185,129.925,129.449725,0.00,0.00,0.00,0.00
AAPL,0.00,26160.13433,1752729,131.74,0.00,130.5125,130.0415,130.0487,0.01,0.01,0.00,0.00
AAPL,0.00,21261.74242,1403275,131.01,0.00,131.3625,131.6985,130.7406,0.00,-0.01,0.00,0.01
AAPL,0.00,16421.13636,1083795,130.77,0.01,130.4125,130.7132,130.969675,0.01,0.01,0.00,0.01
AAPL,0.00,15492.29577,1099953,132.14,0.01,132.06075,132.0929,131.4146,0.01,0.01,0.00,0.00
AAPL,0.00,11722.1791,785386,133.94,0.00,133.9795,133.6976,132.264625,0.00,0.00,0.01,-0.01
AAPL,0.00,15119.63768,1043255,134.26,-0.01,134.07075,133.9514,133.2827,-0.01,0.00,0.00,0.00
AAPL,0.00,11668.36364,770112,133.775,0.00,133.4115,133.4276,133.73925,0.00,0.00,0.00,0.00
AAPL,0.00,13541.98551,934397,135.01,0.00,134.164,133.5611,133.650925,0.01,0.01,0.00,0.01
AAPL,0.00,26368.06061,1740292,135.51,0.01,135.09925,134.9761,134.0954,0.01,0.01,0.01,0.00
AAPL,0.00,15644.14493,1079446,136.765,0.00,136.43325,136.3652,135.201475,0.00,0.00,0.01,0.01
AAPL,0.00,12416.31343,831893,136.56,0.01,136.8,136.9037,136.253175,0.00,0.00,0.00,0.01
AAPL,0.00,16985.9697,1121074,138.82,0.01,138.17675,137.2728,136.781625,0.01,0.02,0.01,-0.01
AAPL,0.00,15811.54286,1106808,142.89,-0.01,141.45825,140.3286,138.073425,0.00,0.01,0.01,0.01
AAPL,0.00,20936.63636,1381818,143.785,0.01,143.19725,142.3391,140.288925,0.01,0.01,0.01,0.01
AAPL,0.00,14139.17647,961464,142.145,0.01,142.734,143.6835,142.378075,0.00,0.00,0.00,0.01
AAPL,0.00,16028.45455,1057878,144.3,0.01,143.619,143.4839,143.192575,0.01,0.01,0.01,0.00
AAPL,0.00,11307.22727,746277,144.65,0.00,144.99425,145.0414,144.003075,0.00,0.00,0.00,-0.01
AAPL,0.00,11407.77273,752913,146.7,-0.01,145.52675,144.9602,144.7001,0.00,0.01,0.01,0.01
AAPL,0.00,33248.40909,2194395,148.28,0.01,147.58675,146.5717,145.668,0.01,0.02,0.01,0.00
AAPL,0.00,19282.34848,1272635,148.775,0.00,149.2,149.1702,147.326125,-0.01,-0.01,0.00,-0.02
AAPL,0.00,13496.1194,904240,148.45,-0.02,148.8185,148.2153,148.2548,-0.02,-0.01,0.00,0.00
AAPL,0.00,16782.27273,1107630,142.4,0.00,143.6685,145.7937,147.741775,-0.01,-0.02,-0.01,0.01
AAPL,0.00,12176.38889,876700,144.52,0.01,143.43175,142.6511,145.432725,0.02,0.03,0.00,0.00
AAPL,0.00,11433.84058,788935,145.455,0.00,145.5325,146.2322,144.551625,0.00,-0.01,0.00,0.00
AAPL,0.00,10809.14286,756640,147.48,0.00,146.32125,145.6637,145.307225,0.00,0.01,0.01,0.00
AAPL,0.00,10310.84286,721759,148.04,0.00,147.38575,147.266,146.36655,0.01,0.01,0.01,0.00
AAPL,0.00,11353.48485,749330,149.13,0.00,148.93175,148.6437,147.519,0.00,0.00,0.01,-0.01
AAPL,0.00,23130.14474,1757891,147.31,-0.01,148.4285,148.9685,148.4683,-0.01,-0.02,0.00,-0.01
AAPL,0.00,14648.12121,966776,146.39,-0.01,145.00675,145.9884,147.711625,0.00,-0.01,-0.01,-0.01
AAPL,0.00,7318,490306,145.87,-0.01,145.75675,145.1595,146.195225,0.00,0.00,0.00,0.01
AAPL,0.00,7809.439394,515423,144.72,0.01,145.06,145.5415,145.551225,0.01,0.00,0.00,0.00
AAPL,0.00,8872.651515,585595,145.895,0.00,145.894,145.8917,145.5463,0.00,0.00,0.00,0.01
AAPL,0.00,11106.69697,733042,146.12,0.01,145.706,145.8547,145.684275,0.01,0.01,0.00,0.00
AAPL,0.00,7632.666667,503756,147.07,0.00,147.269,147.5214,146.4009,0.00,0.00,0.00,0.00
AAPL,0.00,8527.166667,562793,147.36,0.00,147.0385,147.0765,146.80135,0.00,0.00,0.00,-0.01
AAPL,0.00,7771.530303,512921,146.88,-0.01,146.70075,147.0044,147.1608,-0.01,-0.01,0.00,0.00
AAPL,0.00,6702.924242,442393,146.44,0.00,146.1985,146.0208,146.724875,0.00,0.00,0.00,-0.01
AAPL,0.00,7871.80303,519539,146.86,-0.01,146.70325,146.2676,146.327575,-0.01,0.00,0.00,0.00
AAPL,0.00,8570.787879,565672,145.81,0.00,145.87925,145.706,145.9642,0.00,0.00,0.00,0.01
AAPL,0.00,13408.92424,884989,147.55,0.01,146.6165,146.2822,146.034475,0.01,0.01,0.01,0.00
AAPL,0.00,6911.863636,456183,149.095,0.00,148.929,148.6559,146.9739,0.00,0.00,0.01,0.03
AAPL,0.00,13203.14493,911017,146.75,0.03,148.644,148.8211,148.09545,0.01,0.01,0.01,0.00
AAPL,0.00,11133.69697,734824,150.49,0.00,150.7305,150.4822,149.10285,-0.01,0.00,0.00,-0.02
AAPL,0.00,15052.8806,1008543,149.85,-0.02,149.9595,149.8188,149.6333,-0.02,-0.01,0.00,0.00
AAPL,0.00,12827.18182,846594,146.09,0.00,145.67975,147.0668,149.21805,0.01,0.00,-0.01,0.00
AAPL,0.00,6261.492537,419520,148.13,0.00,147.40125,147.0732,147.89,0.00,0.01,0.00,0.00
AAPL,0.00,6773.833333,447073,149.26,0.00,148.5915,148.142,147.383875,0.01,0.01,0.01,-0.01
AAPL,0.00,4910.757576,324110,150.465,-0.01,150.25325,150.0642,148.54825,0.00,0.00,0.01,0.00
AAPL,0.00,8476.833333,559471,148.63,0.00,149.34875,149.5249,149.42425,-0.01,-0.01,0.00,0.00
AAPL,0.00,6208.298507,415956,147.89,0.00,148.46025,148.2489,149.204425,0.00,0.00,0.00,0.00
AAPL,0.00,7632.409091,503739,147.93,0.00,147.611,147.8291,148.425125,0.01,0.00,0.00,0.01
AAPL,0.00,12422.33333,819874,151.74,0.01,150.07725,149.1863,148.359375,0.02,0.03,0.01,0.00
AAPL,0.00,15411.62121,1017167,151.455,0.00,152.276,152.7876,150.062,0.00,0.00,0.01,-0.01
AAPL,0.00,11758.06061,776032,154.67,-0.01,153.6595,152.836,151.882025,-0.01,0.00,0.01,0.00
AAPL,0.00,9901.727273,653514,153.62,0.00,153.5005,153.4504,153.092275,0.00,0.00,0.00,0.00
AAPL,0.00,8663.212121,571772,154.05,0.00,153.75125,153.3179,153.4743,0.00,0.00,0.00,0.01
AAPL,0.00,9786,645876,155.66,0.01,155.07175,154.4516,153.76445,0.01,0.02,0.01,0.00
AAPL,0.00,9782.287879,645631,155.44,0.00,156.148,156.6041,154.924125,-0.01,-0.01,0.00,-0.01
AAPL,0.00,6091.227273,402021,155.625,-0.01,155.197,154.9012,155.3655,-0.01,0.00,0.00,-0.04
AAPL,0.00,24048.47761,1611248,154.74,-0.04,154.7395,154.5704,155.1619,-0.03,-0.03,-0.01,0.00
AAPL,0.00,10604.28788,699883,149.62,0.00,149.604,149.8054,153.0708,0.00,0.00,-0.01,-0.01
AAPL,0.00,12763.68657,855167,149.63,-0.01,149.7815,149.4442,150.938525,-0.01,-0.01,-0.01,0.01
AAPL,0.00,8293.671642,555676,146.645,0.01,147.50575,147.8055,149.1642,0.01,0.00,0.00,0.01
AAPL,0.00,10271.28788,677905,147.8,0.01,148.3085,148.342,148.472625,0.00,0.00,0.00,-0.01
AAPL,0.00,12426.56522,857433,147.065,-0.01,147.73925,147.9979,147.8763,-0.01,-0.01,0.00,0.00
AAPL,0.00,14832.43662,1053103,142.94,0.00,144.03,145.2646,147.121275,-0.01,-0.02,-0.01,0.00
AAPL,0.00,6406.285714,448440,143.785,0.00,143.485,142.5759,144.83405,0.00,0.01,-0.01,0.01
AAPL,0.00,11999.43284,803962,145.1,0.01,144.21625,143.8854,143.514425,0.01,0.01,0.00,0.00
AAPL,0.00,7584.428571,530910,146.79,0.00,146.332,145.8748,144.335375,0.00,0.01,0.01,0.01
AAPL,0.00,7300.045455,481803,146.16,0.01,146.25675,146.6189,145.757575,0.01,0.00,0.00,0.00
AAPL,0.00,9051.19697,597379,145.57,0.00,145.44825,146.2682,146.39385,0.00,-0.01,0.00,-0.01
AAPL,0.00,15255.13636,1006839,143.63,-0.01,144.41475,145.055,145.865625,-0.01,-0.02,-0.01,-0.01
AAPL,0.00,9116.565217,629043,144.18,-0.01,143.2425,142.6646,144.3895,0.00,0.00,-0.01,-0.01
